taxonomy_id,feed_id,dimension,term,parent_term,schema_field,buyer_use_case,owner,governance_status
TAX0001,FEED001,company_stage,Pre IPO,root,company_stage,corp dev,Data product,approved
TAX0002,FEED001,company_stage,Seed,root,company_stage,corp dev,Research operations,approved
TAX0003,FEED001,company_stage,Series B,root,company_stage,corp dev,Data product,approved
TAX0004,FEED001,signal_type,partnership,company_profile,signal_type,corp dev,Research operations,approved
TAX0005,FEED001,signal_type,funding_event,company_profile,signal_type,corp dev,Research operations,approved
TAX0006,FEED001,signal_type,market_sentiment,company_profile,signal_type,corp dev,Research operations,needs definition
TAX0007,FEED001,buyer_use_case,advisory,root,buyer_use_case,corp dev,Editorial liaison,duplicate risk
TAX0008,FEED001,buyer_use_case,corp dev,root,buyer_use_case,corp dev,Research operations,approved
TAX0009,FEED001,buyer_use_case,enterprise,root,buyer_use_case,corp dev,Editorial liaison,needs definition
TAX0010,FEED001,validation_status,conflict found,root,validation_status,corp dev,Research operations,needs definition
TAX0011,FEED001,validation_status,needs public corroboration,root,validation_status,corp dev,Data product,approved
TAX0012,FEED001,validation_status,needs reporter review,root,validation_status,corp dev,Research operations,approved
TAX0013,FEED002,company_stage,Pre IPO,root,company_stage,investor,Research operations,needs definition
TAX0014,FEED002,company_stage,Growth,root,company_stage,investor,Editorial liaison,approved
TAX0015,FEED002,company_stage,Series A,root,company_stage,investor,Research operations,approved
TAX0016,FEED002,signal_type,market_sentiment,deal_timeline,signal_type,investor,Editorial liaison,approved
TAX0017,FEED002,signal_type,funding_event,deal_timeline,signal_type,investor,Research operations,approved
TAX0018,FEED002,signal_type,partnership,deal_timeline,signal_type,investor,Editorial liaison,needs definition
TAX0019,FEED002,buyer_use_case,corp dev,root,buyer_use_case,investor,Data product,approved
TAX0020,FEED002,buyer_use_case,advisory,root,buyer_use_case,investor,Editorial liaison,approved
TAX0021,FEED002,buyer_use_case,investor,root,buyer_use_case,investor,Data product,needs definition
TAX0022,FEED002,validation_status,conflict found,root,validation_status,investor,Data product,needs definition
TAX0023,FEED002,validation_status,validated,root,validation_status,investor,Research operations,needs definition
TAX0024,FEED002,validation_status,needs public corroboration,root,validation_status,investor,Data product,approved
TAX0025,FEED003,company_stage,Growth,root,company_stage,consulting,Research operations,needs definition
TAX0026,FEED003,company_stage,Series A,root,company_stage,consulting,Research operations,approved
TAX0027,FEED003,company_stage,Seed,root,company_stage,consulting,Research operations,approved
TAX0028,FEED003,signal_type,market_sentiment,executive_move,signal_type,consulting,Editorial liaison,duplicate risk
TAX0029,FEED003,signal_type,valuation_marker,executive_move,signal_type,consulting,Editorial liaison,approved
TAX0030,FEED003,signal_type,funding_event,executive_move,signal_type,consulting,Data product,approved
TAX0031,FEED003,buyer_use_case,enterprise,root,buyer_use_case,consulting,Data product,approved
TAX0032,FEED003,buyer_use_case,consulting,root,buyer_use_case,consulting,Data product,approved
TAX0033,FEED003,buyer_use_case,corp dev,root,buyer_use_case,consulting,Research operations,approved
TAX0034,FEED003,validation_status,validated,root,validation_status,consulting,Research operations,approved
TAX0035,FEED003,validation_status,conflict found,root,validation_status,consulting,Research operations,approved
TAX0036,FEED003,validation_status,needs reporter review,root,validation_status,consulting,Research operations,needs definition
TAX0037,FEED004,company_stage,Seed,root,company_stage,investor,Research operations,approved
TAX0038,FEED004,company_stage,Series B,root,company_stage,investor,Editorial liaison,approved
TAX0039,FEED004,company_stage,Pre IPO,root,company_stage,investor,Editorial liaison,needs definition
TAX0040,FEED004,signal_type,partnership,funding_tracker,signal_type,investor,Research operations,approved
TAX0041,FEED004,signal_type,product_launch,funding_tracker,signal_type,investor,Editorial liaison,approved
TAX0042,FEED004,signal_type,funding_event,funding_tracker,signal_type,investor,Editorial liaison,approved
TAX0043,FEED004,buyer_use_case,advisory,root,buyer_use_case,investor,Data product,needs definition
TAX0044,FEED004,buyer_use_case,corp dev,root,buyer_use_case,investor,Research operations,approved
TAX0045,FEED004,buyer_use_case,investor,root,buyer_use_case,investor,Data product,approved
TAX0046,FEED004,validation_status,needs public corroboration,root,validation_status,investor,Research operations,approved
TAX0047,FEED004,validation_status,validated,root,validation_status,investor,Editorial liaison,approved
TAX0048,FEED004,validation_status,conflict found,root,validation_status,investor,Data product,needs definition
TAX0049,FEED005,company_stage,Seed,root,company_stage,enterprise,Research operations,approved
TAX0050,FEED005,company_stage,Series A,root,company_stage,enterprise,Data product,approved
TAX0051,FEED005,company_stage,Pre IPO,root,company_stage,enterprise,Data product,approved
TAX0052,FEED005,signal_type,go_to_market_shift,sentiment_benchmark,signal_type,enterprise,Editorial liaison,approved
TAX0053,FEED005,signal_type,capacity_expansion,sentiment_benchmark,signal_type,enterprise,Data product,approved
TAX0054,FEED005,signal_type,funding_event,sentiment_benchmark,signal_type,enterprise,Editorial liaison,approved
TAX0055,FEED005,buyer_use_case,advisory,root,buyer_use_case,enterprise,Research operations,needs definition
TAX0056,FEED005,buyer_use_case,enterprise,root,buyer_use_case,enterprise,Research operations,approved
