entity_id,entity_name,segment,owner
INT001,Intelligence record 1,Strategic,Operations
INT002,Intelligence record 2,Strategic,Customer
INT003,Intelligence record 3,Watch,Customer
INT004,Intelligence record 4,Growth,Operations
INT005,Intelligence record 5,Strategic,Operations
INT006,Intelligence record 6,Strategic,Operations
INT007,Intelligence record 7,Strategic,Product
INT008,Intelligence record 8,Core,Product
INT009,Intelligence record 9,Watch,Revenue
INT010,Intelligence record 10,Watch,Customer
INT011,Intelligence record 11,Strategic,Product
INT012,Intelligence record 12,Strategic,Operations
INT013,Intelligence record 13,Growth,Analytics
INT014,Intelligence record 14,Growth,Customer
INT015,Intelligence record 15,Watch,Operations
INT016,Intelligence record 16,Core,Analytics
INT017,Intelligence record 17,Core,Customer
INT018,Intelligence record 18,Core,Revenue
INT019,Intelligence record 19,Core,Customer
INT020,Intelligence record 20,Strategic,Operations
INT021,Intelligence record 21,Core,Revenue
INT022,Intelligence record 22,Growth,Product
INT023,Intelligence record 23,Watch,Customer
INT024,Intelligence record 24,Core,Product
INT025,Intelligence record 25,Core,Customer
INT026,Intelligence record 26,Strategic,Customer
INT027,Intelligence record 27,Core,Product
INT028,Intelligence record 28,Watch,Product
INT029,Intelligence record 29,Strategic,Customer
INT030,Intelligence record 30,Watch,Analytics
INT031,Intelligence record 31,Watch,Customer
INT032,Intelligence record 32,Growth,Customer
INT033,Intelligence record 33,Strategic,Product
INT034,Intelligence record 34,Growth,Analytics
INT035,Intelligence record 35,Growth,Revenue
INT036,Intelligence record 36,Core,Customer
