signal_id,feed_id,doc_id,company_id,signal_type,event_date,buyer_use_case,target_product,schema_fields_required,schema_fields_filled,extraction_confidence,source_count,validation_status,commercial_value_score,launch_note
SIG0001,FEED001,DOC0009,CO029,customer_adoption,2026-04-02,corp dev,company_profile,8,7,0.75,2,validated,57,ready for profile enrichment
SIG0002,FEED001,DOC0006,CO012,customer_adoption,2026-04-25,corp dev,company_profile,8,6,0.79,2,needs public corroboration,74,map to controlled taxonomy
SIG0003,FEED001,DOC0007,CO017,vendor_spend,2026-01-25,corp dev,company_profile,8,6,0.9,1,needs reporter review,74,candidate for recurring feed
SIG0004,FEED001,DOC0001,CO034,vendor_spend,2026-04-20,corp dev,company_profile,8,7,0.98,2,validated,80,map to controlled taxonomy
SIG0005,FEED001,DOC0001,CO018,valuation_marker,2026-02-25,corp dev,company_profile,8,7,0.82,5,needs reporter review,65,needs second source
SIG0006,FEED001,DOC0001,CO011,go_to_market_shift,2026-02-07,corp dev,company_profile,8,6,0.88,1,needs reporter review,64,ready for profile enrichment
SIG0007,FEED001,DOC0007,CO004,market_sentiment,2026-04-30,corp dev,company_profile,8,5,0.77,5,needs public corroboration,80,map to controlled taxonomy
SIG0008,FEED001,DOC0005,CO017,partnership,2026-03-01,corp dev,company_profile,8,6,0.68,1,needs public corroboration,52,needs second source
SIG0009,FEED001,DOC0006,CO018,partnership,2026-02-25,corp dev,company_profile,8,8,0.89,3,validated,70,hold for editorial context
SIG0010,FEED001,DOC0003,CO028,go_to_market_shift,2026-03-18,corp dev,company_profile,8,6,0.62,3,validated,75,candidate for recurring feed
SIG0011,FEED001,DOC0009,CO017,capacity_expansion,2026-03-02,corp dev,company_profile,8,7,0.75,4,needs reporter review,90,map to controlled taxonomy
SIG0012,FEED001,DOC0009,CO034,executive_move,2026-02-10,corp dev,company_profile,8,6,0.86,5,needs reporter review,99,hold for editorial context
SIG0013,FEED001,DOC0006,CO011,product_launch,2026-01-08,corp dev,company_profile,8,6,0.86,1,needs public corroboration,62,map to controlled taxonomy
SIG0014,FEED001,DOC0008,CO005,market_sentiment,2026-04-28,corp dev,company_profile,8,8,0.6,5,needs reporter review,52,map to controlled taxonomy
SIG0015,FEED001,DOC0007,CO034,market_sentiment,2026-02-02,corp dev,company_profile,8,5,0.73,2,needs public corroboration,96,hold for editorial context
SIG0016,FEED001,DOC0008,CO017,product_launch,2026-04-17,corp dev,company_profile,8,8,0.82,4,needs public corroboration,55,hold for editorial context
SIG0017,FEED001,DOC0009,CO005,valuation_marker,2026-03-03,corp dev,company_profile,8,8,0.7,2,needs public corroboration,98,candidate for recurring feed
SIG0018,FEED001,DOC0008,CO001,valuation_marker,2026-03-08,corp dev,company_profile,8,7,0.96,2,needs reporter review,88,needs second source
SIG0019,FEED001,DOC0008,CO011,product_launch,2026-01-24,corp dev,company_profile,8,5,0.76,2,validated,85,candidate for recurring feed
