doc_id,feed_id,source_type,source_date,sector,reporting_desk,exclusivity_level,buyer_relevance,extraction_complexity,access_tier
DOC0001,FEED001,public_filing,2026-02-14,Enterprise AI,Finance,public corroboration,87,38,enterprise pilot
DOC0002,FEED001,reporter_note,2026-03-04,Enterprise AI,Enterprise,exclusive,62,80,enterprise pilot
DOC0003,FEED001,executive_briefing,2026-01-17,Enterprise AI,AI,derived,94,55,newsroom
DOC0004,FEED001,executive_briefing,2026-04-27,Enterprise AI,AI,derived,85,58,newsroom
DOC0005,FEED001,subscriber_survey,2026-03-15,Enterprise AI,Enterprise,exclusive,97,60,enterprise pilot
DOC0006,FEED001,reported_story,2026-04-27,Enterprise AI,Finance,public corroboration,69,35,enterprise pilot
DOC0007,FEED001,reporter_note,2026-02-08,Enterprise AI,Enterprise,derived,83,48,enterprise pilot
DOC0008,FEED001,reporter_note,2026-02-07,Enterprise AI,Consumer Tech,survey only,78,28,newsroom
DOC0009,FEED001,reporter_note,2026-04-21,Enterprise AI,Enterprise,exclusive,62,64,newsroom
DOC0010,FEED002,reporter_note,2026-03-31,AI Infrastructure,Semiconductors,public corroboration,63,85,pro
DOC0011,FEED002,reported_story,2026-02-01,AI Infrastructure,Enterprise,public corroboration,83,57,enterprise pilot
DOC0012,FEED002,public_filing,2026-02-09,AI Infrastructure,Consumer Tech,exclusive,95,46,newsroom
DOC0013,FEED002,reported_story,2026-02-26,AI Infrastructure,Semiconductors,derived,92,84,pro
DOC0014,FEED002,funding_database,2026-01-16,AI Infrastructure,Enterprise,derived,87,53,pro
DOC0015,FEED002,public_filing,2026-02-21,AI Infrastructure,Semiconductors,public corroboration,89,64,pro
DOC0016,FEED002,public_filing,2026-02-08,AI Infrastructure,Enterprise,public corroboration,76,37,enterprise pilot
DOC0017,FEED002,reported_story,2026-01-20,AI Infrastructure,Consumer Tech,derived,74,49,enterprise pilot
DOC0018,FEED002,subscriber_survey,2026-04-07,AI Infrastructure,Consumer Tech,public corroboration,68,46,pro
DOC0019,FEED002,reported_story,2026-01-27,AI Infrastructure,Enterprise,exclusive,96,38,pro
DOC0020,FEED002,reported_story,2026-01-11,AI Infrastructure,Consumer Tech,public corroboration,70,84,newsroom
DOC0021,FEED003,executive_briefing,2026-02-17,Cloud Platforms,Consumer Tech,survey only,67,64,enterprise pilot
DOC0022,FEED003,funding_database,2026-02-22,Cloud Platforms,Enterprise,survey only,96,26,enterprise pilot
DOC0023,FEED003,reported_story,2026-03-26,Cloud Platforms,Enterprise,derived,67,77,newsroom
DOC0024,FEED003,public_filing,2026-04-05,Cloud Platforms,AI,survey only,72,60,newsroom
DOC0025,FEED003,reported_story,2026-04-16,Cloud Platforms,AI,public corroboration,84,69,pro
DOC0026,FEED003,reported_story,2026-03-13,Cloud Platforms,Semiconductors,derived,72,44,newsroom
DOC0027,FEED003,reporter_note,2026-02-22,Cloud Platforms,Consumer Tech,derived,93,40,newsroom
DOC0028,FEED003,subscriber_survey,2026-02-06,Cloud Platforms,Semiconductors,public corroboration,62,81,pro
DOC0029,FEED003,public_filing,2026-01-25,Cloud Platforms,AI,survey only,84,60,enterprise pilot
DOC0030,FEED003,executive_briefing,2026-04-03,Cloud Platforms,Enterprise,survey only,81,47,pro
DOC0031,FEED003,funding_database,2026-01-18,Cloud Platforms,Finance,survey only,98,67,enterprise pilot
DOC0032,FEED003,reported_story,2026-04-04,Cloud Platforms,Enterprise,exclusive,87,57,newsroom
DOC0033,FEED003,reporter_note,2026-04-02,Cloud Platforms,AI,survey only,80,51,enterprise pilot
DOC0034,FEED003,funding_database,2026-02-02,Cloud Platforms,Finance,public corroboration,70,34,enterprise pilot
DOC0035,FEED004,executive_briefing,2026-03-22,Private Markets,AI,exclusive,71,42,enterprise pilot
DOC0036,FEED004,reported_story,2026-01-15,Private Markets,Enterprise,survey only,89,84,enterprise pilot
DOC0037,FEED004,subscriber_survey,2026-02-08,Private Markets,Finance,exclusive,84,77,newsroom
DOC0038,FEED004,reported_story,2026-04-01,Private Markets,Consumer Tech,survey only,95,61,newsroom
DOC0039,FEED004,reported_story,2026-03-22,Private Markets,AI,exclusive,75,60,newsroom
DOC0040,FEED004,public_filing,2026-04-12,Private Markets,Enterprise,public corroboration,82,37,newsroom
DOC0041,FEED004,subscriber_survey,2026-03-01,Private Markets,Finance,derived,86,51,enterprise pilot
DOC0042,FEED004,reporter_note,2026-03-31,Private Markets,Enterprise,exclusive,87,27,pro
DOC0043,FEED004,reported_story,2026-01-14,Private Markets,Enterprise,survey only,98,73,enterprise pilot
DOC0044,FEED004,reporter_note,2026-02-11,Private Markets,AI,survey only,63,63,newsroom
DOC0045,FEED004,funding_database,2026-03-25,Private Markets,Semiconductors,public corroboration,67,77,newsroom
DOC0046,FEED004,reported_story,2026-03-21,Private Markets,Semiconductors,exclusive,87,61,enterprise pilot
DOC0047,FEED004,subscriber_survey,2026-02-16,Private Markets,Finance,exclusive,94,36,enterprise pilot
DOC0048,FEED004,reporter_note,2026-04-30,Private Markets,Enterprise,public corroboration,71,52,newsroom
DOC0049,FEED005,reported_story,2026-04-25,Cloud Platforms,AI,public corroboration,79,37,pro
DOC0050,FEED005,subscriber_survey,2026-02-25,Cloud Platforms,Semiconductors,survey only,83,45,pro
DOC0051,FEED005,public_filing,2026-02-21,Cloud Platforms,Consumer Tech,public corroboration,67,76,newsroom
DOC0052,FEED005,subscriber_survey,2026-04-20,Cloud Platforms,Finance,public corroboration,82,35,newsroom
DOC0053,FEED005,subscriber_survey,2026-02-11,Cloud Platforms,Enterprise,survey only,89,43,enterprise pilot
DOC0054,FEED005,subscriber_survey,2026-03-03,Cloud Platforms,AI,public corroboration,89,57,enterprise pilot
DOC0055,FEED005,executive_briefing,2026-01-12,Cloud Platforms,AI,survey only,85,87,enterprise pilot
DOC0056,FEED005,public_filing,2026-01-08,Cloud Platforms,Finance,survey only,64,38,newsroom
DOC0057,FEED005,reported_story,2026-03-28,Cloud Platforms,Enterprise,public corroboration,86,26,enterprise pilot
DOC0058,FEED006,public_filing,2026-04-05,Cybersecurity,Finance,survey only,82,83,pro
DOC0059,FEED006,reporter_note,2026-04-16,Cybersecurity,Enterprise,public corroboration,69,70,pro
